project_id,state,district,constituency,work_type,description,sanctioned_amount,released_amount,expenditure,physical_progress,start_date,expected_completion,latitude,longitude,agency,contractor
MD020,Tamil Nadu,Madurai,Madurai Central,Street Lighting,Installation of high mast lights at public gathering point,2000000,1617955,892878,65.1,2023-03-12,2024-02-24,13.374837,78.816721,District Rural Development Agency,Yadav Construction
MD021,Uttar Pradesh,Lucknow,Lucknow East,Public Toilet,Construction of community toilet block with water supply,800000,620203,550587,45.5,2023-02-13,2023-12-25,25.239825,79.339804,Municipal Corporation,Desai Infrastructure
MD022,Maharashtra,Thane,Thane North,Drinking Water Supply,Laying of water supply pipeline to underserved area,1000000,773676,597212,42.9,2022-06-21,2023-05-25,20.771472,74.225555,Block Development Office,Gupta Civil Works
MD023,Uttar Pradesh,Varanasi,Kanpur City,Bridge Construction,Construction of culvert on approach road to village,3000000,2384559,3326206,96.5,2023-03-16,2023-09-16,28.486338,79.366304,State Public Health Engineering Department,Singh Infrastructure Pvt. Ltd.
MD024,Uttar Pradesh,Varanasi,Kanpur City,Drinking Water Supply,Laying of water supply pipeline to underserved area,1500000,1120986,1623727,100,2023-11-06,2025-03-13,26.851292,82.339316,Public Works Department,Pillai Constructions
MD025,Maharashtra,Pune,Pune Central,Drainage System,Construction of covered drainage along main road,1000000,781704,920704,90.1,2023-08-04,2024-07-24,18.423944,75.931191,Public Works Department,Verma Civil Projects
MD026,Tamil Nadu,Chennai,Chennai South,Drainage System,Construction of covered drainage along main road,2000000,1862672,1986176,100,2023-09-26,2024-06-14,11.210748,76.538679,Zila Parishad,Mehta Constructions
MD027,Rajasthan,Ajmer,Ajmer North,Public Toilet,Installation of prefabricated toilet units in public space,1000000,828936,1060296,94.1,2023-02-12,2024-01-15,27.416589,70.739369,Municipal Corporation,Verma Civil Projects
MD028,Maharashtra,Nashik,Thane North,Drinking Water Supply,Installation of hand pump for drinking water supply,2500000,2480378,2854180,100,2023-06-08,2024-04-04,20.337701,78.288497,Zila Parishad,Yadav Construction
MD029,Uttar Pradesh,Varanasi,Kanpur City,Bridge Construction,Widening and strengthening of existing bridge structure,1000000,936212,1100508,100,2023-04-21,2024-04-30,25.778518,83.082933,Block Development Office,Reddy Construction
MD030,Maharashtra,Pune,Nagpur South,Community Hall,Construction of multipurpose community center in village,2500000,1996196,2293573,93.8,2023-03-13,2024-01-29,19.878313,78.061967,District Rural Development Agency,Patel & Sons Builders
MD031,Uttar Pradesh,Prayagraj,Kanpur City,School Building,Renovation and repair of government school building,500000,366260,454894,100,2024-03-20,2025-03-11,27.121731,81.557115,Municipal Corporation,Reddy Construction
MD032,Rajasthan,Jaipur,Ajmer North,Bridge Construction,Construction of pedestrian bridge over canal,1200000,971120,1221725,100,2023-03-13,2024-08-14,26.490162,71.247752,State Public Health Engineering Department,Verma Civil Projects
MD033,Tamil Nadu,Salem,Madurai Central,Public Toilet,Construction of public toilet complex near market area,1000000,757552,860910,100,2024-01-24,2025-07-03,11.776421,78.124301,State Public Health Engineering Department,Reddy Construction
MD034,Maharashtra,Thane,Thane North,Bridge Construction,Construction of culvert on approach road to village,2000000,1678993,1733687,89.8,2024-03-28,2025-09-04,20.654133,77.776149,Public Works Department,Reddy Construction
MD035,Karnataka,Hubballi,Bengaluru South,Anganwadi Center,Construction of anganwadi center for child development,1200000,1082206,868578,88.7,2023-08-19,2024-05-26,15.935744,76.639459,Urban Local Body,Desai Infrastructure
MD036,Madhya Pradesh,Indore,Gwalior South,Anganwadi Center,Construction of anganwadi center with compound wall,3000000,2459688,3337293,100,2023-06-01,2024-10-28,25.011542,80.312791,Municipal Corporation,Singh Infrastructure Pvt. Ltd.
MD037,Madhya Pradesh,Gwalior,Bhopal North,Health Sub-Center,Construction of additional room in health sub-center,1200000,1170289,1020384,88.3,2023-05-05,2024-06-21,23.858962,78.353552,Urban Local Body,Rao & Associates
MD038,Madhya Pradesh,Gwalior,Ujjain West,Health Sub-Center,Construction of health wellness center in rural area,3000000,2907487,2432998,91.5,2024-05-01,2025-06-15,24.231815,79.594882,Municipal Corporation,Reddy Construction
MD039,Tamil Nadu,Madurai,Coimbatore North,Drinking Water Supply,Bore well construction and pump installation for community,1500000,1201131,1243761,88.8,2023-03-24,2023-11-29,10.111221,77.355812,Gram Panchayat,Kumar Builders
MD040,Karnataka,Mangaluru,Bengaluru South,Street Lighting,Installation of street lighting along village main road,1200000,1139841,968203,100,2024-02-03,2025-05-27,15.522627,76.514916,District Rural Development Agency,Kumar Builders
MD041,Uttar Pradesh,Agra,Prayagraj West,Bridge Construction,Construction of culvert on approach road to village,1200000,1015763,1091205,97.1,2023-10-07,2024-11-13,27.341058,82.990712,Urban Local Body,Pillai Constructions
MD042,Maharashtra,Thane,Pune Central,Anganwadi Center,Construction of anganwadi center with compound wall,2500000,2193920,2118737,100,2023-01-28,2023-09-07,19.115945,73.301708,Block Development Office,Gupta Civil Works
MD043,Tamil Nadu,Madurai,Salem West,Public Toilet,Installation of prefabricated toilet units in public space,1500000,1388404,1446911,100,2024-03-07,2025-01-10,12.496097,76.708342,Municipal Corporation,Verma Civil Projects
MD044,Rajasthan,Jaipur,Jodhpur City,Road Construction,Widening and strengthening of approach road to village,1200000,1142122,1094162,88.2,2023-06-06,2024-04-03,26.191909,71.807787,Block Development Office,Singh Infrastructure Pvt. Ltd.
MD045,Karnataka,Bengaluru Urban,Mysuru North,Anganwadi Center,Construction of new anganwadi building with kitchen,1500000,1098644,1666568,99.4,2023-01-27,2024-01-01,13.501228,77.795147,Public Works Department,Rao & Associates
MD046,Madhya Pradesh,Bhopal,Jabalpur East,Community Hall,Construction of community hall for public gatherings,800000,751095,811351,98.3,2023-02-12,2024-02-04,22.241349,78.88526,Gram Panchayat,Nair Infrastructure
MD047,Tamil Nadu,Salem,Madurai Central,Drinking Water Supply,Bore well construction and pump installation for community,3000000,2736578,3413747,100,2024-03-21,2024-12-16,10.58033,79.732797,Urban Local Body,Desai Infrastructure
MD048,Madhya Pradesh,Jabalpur,Jabalpur East,Anganwadi Center,Construction of anganwadi center with compound wall,1200000,1139063,1062423,100,2023-03-30,2024-02-15,23.62648,78.66199,Block Development Office,Sharma Construction Co.
MD049,Tamil Nadu,Coimbatore,Salem West,Public Toilet,Construction of community toilet block with water supply,1200000,967737,1113451,92.0,2023-09-22,2024-09-10,13.020429,78.723164,Public Works Department,Gupta Civil Works
MD050,Madhya Pradesh,Gwalior,Ujjain West,Bridge Construction,Construction of pedestrian bridge over canal,1200000,1088619,999082,100,2024-05-17,2025-06-30,22.775587,79.150723,Block Development Office,Joshi Engineering Works
MD051,Karnataka,Hubballi,Mangaluru City,Health Sub-Center,Renovation of primary health center facility,2000000,1611086,1632190,92.7,2024-04-09,2025-02-21,14.885137,75.604418,Municipal Corporation,Gupta Civil Works
MD052,Madhya Pradesh,Jabalpur,Ujjain West,Street Lighting,Replacement of conventional lights with solar LED lights,1500000,1491230,1173678,90.7,2023-07-18,2024-06-13,22.049519,78.204811,District Rural Development Agency,Sharma Construction Co.
MD053,Karnataka,Mysuru,Mangaluru City,Drainage System,Construction of drainage outfall and treatment facility,800000,769453,713099,97.0,2023-10-19,2024-12-12,15.861991,75.383674,Public Works Department,Nair Infrastructure
MD054,Rajasthan,Udaipur,Jaipur Rural,Bridge Construction,Construction of culvert on approach road to village,500000,372759,420729,100,2023-11-08,2024-06-18,26.79333,74.137906,Gram Panchayat,Joshi Engineering Works
MD055,Tamil Nadu,Tiruchirappalli,Salem West,Drainage System,Renovation of open drain to covered drain system,1500000,1305883,1252098,100,2023-03-03,2024-07-07,12.550948,79.00206,Public Works Department,Singh Infrastructure Pvt. Ltd.
MD056,Maharashtra,Thane,Pune Central,School Building,Renovation and repair of government school building,1000000,700803,868333,96.3,2024-04-06,2025-09-20,18.310167,77.241735,Public Works Department,Verma Civil Projects
MD057,Maharashtra,Thane,Nagpur South,Drainage System,Renovation of open drain to covered drain system,2500000,1836082,1980716,88.7,2023-08-19,2025-01-11,17.997827,73.357828,State Public Health Engineering Department,Joshi Engineering Works
MD058,Rajasthan,Kota,Udaipur East,Street Lighting,Replacement of conventional lights with solar LED lights,1500000,1275212,1062341,87.0,2024-05-20,2025-06-28,25.796086,72.43393,District Rural Development Agency,Patel & Sons Builders
MD059,Maharashtra,Thane,Pune Central,Anganwadi Center,Construction of anganwadi center with compound wall,1500000,1309311,1403156,98.0,2023-06-29,2024-08-22,18.473548,78.981673,Urban Local Body,Patel & Sons Builders
MD060,Tamil Nadu,Salem,Madurai Central,Public Toilet,Construction of public toilet complex near market area,2000000,1802080,1855155,95.3,2023-06-14,2024-05-27,12.150334,78.101809,Urban Local Body,Patel & Sons Builders
MD061,Uttar Pradesh,Kanpur,Lucknow East,Drainage System,Construction of drainage outfall and treatment facility,2500000,2398683,2404229,100,2023-01-02,2024-06-01,25.189714,81.592197,Urban Local Body,Mishra Builders
MD062,Rajasthan,Kota,Ajmer North,Community Hall,Construction of panchayat bhawan for community use,1000000,978302,770161,95.1,2024-03-24,2025-09-12,26.390067,75.295882,State Public Health Engineering Department,Mehta Constructions
MD063,Rajasthan,Udaipur,Jaipur Rural,Health Sub-Center,Construction of additional room in health sub-center,1200000,1197213,1232038,100,2023-04-27,2024-06-16,24.961913,76.095918,State Public Health Engineering Department,Desai Infrastructure
MD064,Tamil Nadu,Coimbatore,Salem West,Street Lighting,Replacement of conventional lights with solar LED lights,1000000,815076,989372,91.9,2023-05-20,2023-12-21,11.15977,80.236994,District Rural Development Agency,Reddy Construction
MD065,Madhya Pradesh,Ujjain,Ujjain West,Drainage System,Renovation of open drain to covered drain system,3000000,2878735,2669574,97.1,2024-04-02,2025-07-01,24.670054,77.26326,Municipal Corporation,Yadav Construction
MD066,Maharashtra,Aurangabad,Nagpur South,Anganwadi Center,Construction of anganwadi center with compound wall,2500000,1782735,2442710,94.7,2024-04-29,2025-05-09,20.372616,78.884909,District Rural Development Agency,Singh Infrastructure Pvt. Ltd.
MD067,Karnataka,Hubballi,Bengaluru South,Anganwadi Center,Construction of anganwadi center with compound wall,3000000,2189741,2830478,100,2024-04-12,2024-10-16,14.619125,75.040264,State Public Health Engineering Department,Kumar Builders
MD068,Karnataka,Bengaluru Urban,Hubballi Central,Bridge Construction,Construction of culvert on approach road to village,2500000,2465605,1769375,85.9,2024-05-14,2025-08-14,14.524644,77.723252,Public Works Department,Desai Infrastructure
MD069,Rajasthan,Udaipur,Jodhpur City,Drinking Water Supply,Bore well construction and pump installation for community,1500000,1456541,1354018,100,2023-02-17,2024-01-29,25.624523,71.373419,Zila Parishad,Singh Infrastructure Pvt. Ltd.
MD070,Maharashtra,Thane,Aurangabad East,Drinking Water Supply,Bore well construction and pump installation for community,1200000,1019160,1029644,96.5,2023-05-27,2024-03-20,18.393643,73.056385,State Public Health Engineering Department,Verma Civil Projects
MD071,Karnataka,Bengaluru Urban,Mangaluru City,School Building,Renovation and repair of government school building,2000000,1992591,2083219,100,2023-11-03,2025-03-24,13.827343,75.557426,Urban Local Body,Patel & Sons Builders
MD072,Maharashtra,Thane,Nashik West,Bridge Construction,Construction of RCC bridge over nallah for connectivity,1500000,1496711,1545571,100,2023-10-30,2024-05-08,18.460681,76.395574,Urban Local Body,Nair Infrastructure
MD073,Uttar Pradesh,Prayagraj,Kanpur City,Community Hall,Construction of community hall for public gatherings,1200000,1069182,1282338,100,2023-09-14,2025-02-22,27.382993,79.683896,District Rural Development Agency,Reddy Construction
MD074,Tamil Nadu,Tiruchirappalli,Madurai Central,Road Construction,Widening and strengthening of approach road to village,1000000,727040,861474,100,2023-10-30,2024-10-11,10.028639,78.657631,State Public Health Engineering Department,Nair Infrastructure
MD075,Maharashtra,Aurangabad,Nashik West,Drainage System,Construction of drainage outfall and treatment facility,2000000,1882540,2015178,88.5,2024-04-24,2024-11-28,20.510492,77.3453,Block Development Office,Patel & Sons Builders
MD076,Tamil Nadu,Madurai,Trichy East,Road Construction,Construction of interlocking paver block road in ward,800000,669149,773970,94.5,2023-09-26,2025-01-17,10.985895,79.199346,District Rural Development Agency,Rao & Associates
MD077,Karnataka,Belagavi,Mysuru North,Public Toilet,Installation of prefabricated toilet units in public space,800000,712497,643480,85.3,2024-04-20,2025-10-10,12.559108,77.811915,Urban Local Body,Patel & Sons Builders
MD078,Rajasthan,Ajmer,Jodhpur City,Community Hall,Renovation of existing community hall with modern amenities,2500000,2090233,2135208,100,2024-03-05,2025-06-28,25.744654,71.09413,Gram Panchayat,Reddy Construction
MD079,Rajasthan,Jodhpur,Udaipur East,Public Toilet,Construction of public toilet complex near market area,3000000,2955500,2785702,100,2024-01-07,2024-08-24,27.205089,74.368961,Gram Panchayat,Reddy Construction
MD080,Maharashtra,Aurangabad,Pune Central,Drinking Water Supply,Installation of hand pump for drinking water supply,1200000,1071014,1062299,100,2023-01-22,2023-08-15,17.940734,76.387468,Municipal Corporation,Rao & Associates
